GEO.id,GEO.id2,GEO.display-label,VD002,VD003,VD004,VD005,VD006,VD007,VD008,VD010,VD011,VD012,VD013,VD014,VD015,VD016,VD017,VD018,VD019,VD020,VD021,VD022,VD023,VD024,VD025,VD026,VD027,VD028,VD029,VD030,VD031,VD032,VD033,VD034,VD035,VD036,VD037,VD038,VD039,VD040,VD041,VD042,VD043,VD044,VD045,VD046,VD047,VD048,VD049,VD050,VD051,VD052,VD053,VD054,VD055,VD056,VD057,VD058,VD059,VD060,VD061,VD062,VD063,VD064,VD065,VD067,VD068,VD069,VD070,VD071,VD072,VD073,VD074,VD075,VD076,VD077,VD079,VD080,VD081,VD082,VD083,VD084,VD085,VD086,VD087,VD088,VD089,VD090,VD091,VD092,VD093,VD094,VD095,VD096,VD097,VD098,VD099,VD100,VD101,VD102,VD103,VD104,VD105
8600000US12446,12446,ZCTA5 12446,DPUS  ,US,860,00,000,  ,0090940, , ,  ,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,12446,     ,  ,     ,     ,     ,     175885810,        595657,ZCTA5 12446,S, ,5061,2776,+41.8090543,-074.3264428,Z5, ,      ,     ,        ,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
8600000US12448,12448,ZCTA5 12448,DPUS  ,US,860,00,000,  ,0090942, , ,  ,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,12448,     ,  ,     ,     ,     ,      30202270,        630494,ZCTA5 12448,S, ,388,298,+42.0900113,-074.1579698,Z5, ,      ,     ,        ,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
8600000US12449,12449,ZCTA5 12449,DPUS  ,US,860,00,000,  ,0090944, , ,  ,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,12449,     ,  ,     ,     ,     ,       9378225,        470175,ZCTA5 12449,S, ,3367,1299,+41.9923551,-073.9937054,Z5, ,      ,     ,        ,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
8600000US12450,12450,ZCTA5 12450,DPUS  ,US,860,00,000,  ,0090946, , ,  ,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,12450,     ,  ,     ,     ,     ,      25634491,             0,ZCTA5 12450,S, ,183,211,+42.1332471,-074.2442796,Z5, ,      ,     ,        ,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
8600000US12451,12451,ZCTA5 12451,DPUS  ,US,860,00,000,  ,0090948, , ,  ,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,12451,     ,  ,     ,     ,     ,      30576124,        134106,ZCTA5 12451,S, ,1674,898,+42.3048926,-073.9481757,Z5, ,      ,     ,        ,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
8600000US12452,12452,ZCTA5 12452,DPUS  ,US,860,00,000,  ,0090950, , ,  ,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,12452,     ,  ,     ,     ,     ,      22230440,             0,ZCTA5 12452,S, ,213,207,+42.2523845,-074.3649375,Z5, ,      ,     ,        ,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
8600000US12453,12453,ZCTA5 12453,DPUS  ,US,860,00,000,  ,0090952, , ,  ,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,12453,     ,  ,     ,     ,     ,       1277726,             0,ZCTA5 12453,S, ,366,174,+42.0933886,-073.9362806,Z5, ,      ,     ,        ,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
8600000US12454,12454,ZCTA5 12454,DPUS  ,US,860,00,000,  ,0090954, , ,  ,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,12454,     ,  ,     ,     ,     ,      28838772,        114432,ZCTA5 12454,S, ,297,280,+42.2869511,-074.1494949,Z5, ,      ,     ,        ,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
8600000US12455,12455,ZCTA5 12455,DPUS  ,US,860,00,000,  ,0090956, , ,  ,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,12455,     ,  ,     ,     ,     ,     198660502,       2917964,ZCTA5 12455,S, ,1988,1695,+42.1407103,-074.6595233,Z5, ,      ,     ,        ,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
8600000US12456,12456,ZCTA5 12456,DPUS  ,US,860,00,000,  ,0090958, , ,  ,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,12456,     ,  ,     ,     ,     ,       1399184,         52824,ZCTA5 12456,S, ,639,245,+42.0329970,-073.9982778,Z5, ,      ,     ,        ,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
8600000US12457,12457,ZCTA5 12457,DPUS  ,US,860,00,000,  ,0090960, , ,  ,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,12457,     ,  ,     ,     ,     ,      36189767,             0,ZCTA5 12457,S, ,763,553,+42.0440716,-074.2525008,Z5, ,      ,     ,        ,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
8600000US12458,12458,ZCTA5 12458,DPUS  ,US,860,00,000,  ,0090962, , ,  ,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,12458,     ,  ,     ,     ,     ,      83665854,        255786,ZCTA5 12458,S, ,3232,1182,+41.8229184,-074.4320804,Z5, ,      ,     ,        ,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
8600000US12459,12459,ZCTA5 12459,DPUS  ,US,860,00,000,  ,0090964, , ,  ,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,12459,     ,  ,     ,     ,     ,      19706616,         15716,ZCTA5 12459,S, ,161,181,+42.2403819,-074.6788929,Z5, ,      ,     ,        ,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
8600000US12460,12460,ZCTA5 12460,DPUS  ,US,860,00,000,  ,0090966, , ,  ,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,12460,     ,  ,     ,     ,     ,       5344180,             0,ZCTA5 12460,S, ,277,161,+42.4156150,-074.1475898,Z5, ,      ,     ,        ,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
8600000US12461,12461,ZCTA5 12461,DPUS  ,US,860,00,000,  ,0090968, , ,  ,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,12461,     ,  ,     ,     ,     ,      61872153,         58368,ZCTA5 12461,S, ,1634,964,+41.9049608,-074.2679977,Z5, ,      ,     ,        ,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
8600000US12463,12463,ZCTA5 12463,DPUS  ,US,860,00,000,  ,0090970, , ,  ,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,12463,     ,  ,     ,     ,     ,      28028103,         66577,ZCTA5 12463,S, ,1484,825,+42.2055928,-074.0207743,Z5, ,      ,     ,        ,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
8600000US12464,12464,ZCTA5 12464,DPUS  ,US,860,00,000,  ,0090972, , ,  ,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,12464,     ,  ,     ,     ,     ,     114332114,         25209,ZCTA5 12464,S, ,1020,916,+42.0276845,-074.3599485,Z5, ,      ,     ,        ,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
8600000US12465,12465,ZCTA5 12465,DPUS  ,US,860,00,000,  ,0090974, , ,  ,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,12465,     ,  ,     ,     ,     ,       7493022,         25678,ZCTA5 12465,S, ,266,312,+42.1571532,-074.4600165,Z5, ,      ,     ,        ,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
8600000US12466,12466,ZCTA5 12466,DPUS  ,US,860,00,000,  ,0090976, , ,  ,   ,  ,  ,     ,  ,  ,     ,  ,  ,      , ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,     ,  ,     ,   ,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,12466,     ,  ,     ,     ,     ,       2688098,             0,ZCTA5 12466,S, ,2471,1183,+41.9043446,-073.9790252,Z5, ,      ,     ,        ,        ,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  , , ,     ,                  
